user_id,signup_date,country,acquisition_source,device,email
2e7cdb3f-4404-47f9-9e60-ba33fcbfa2ca,2025-01-01,BR,Referral,Desktop,smartinez@example.org
1c41c9cf-1fce-4d86-bd86-6eaa1b40abe4,2025-01-01,BR,Referral,Mobile,amy65@example.com
fe33ebd7-e8e9-4639-869a-a02477064602,2025-01-01,BR,Referral,Desktop,seanreyes@example.org
626cd59a-ec3e-43c3-b961-3250d3752185,2025-01-01,JP,Organic,Desktop,hendrixariana@example.net
3cfbc642-8897-4497-8bad-4234395370c0,2025-01-01,US,Social,Desktop,benjamin24@example.org
b1c8d50a-1e39-4f21-8775-cabfdcff5f1e,2025-01-01,UK,Organic,Desktop,stanleyjohnson@example.org
a341441c-3c16-4571-957a-66e5a18af1fd,2025-01-01,IN,Referral,Desktop,todd24@example.org
1bcb404c-21d8-496a-a2ad-a15760d2759a,2025-01-01,BR,Social,Mobile,harrismichele@example.net
4ac1a8f4-a4ba-47d7-b12b-8f43004025e1,2025-01-01,BR,Ads,Desktop,melissa91@example.com
a2baec1a-2654-4ba4-93d0-582312798646,2025-01-01,US,Ads,Desktop,joshua61@example.com
bd44089d-9dd2-49de-bd98-fe336498abe9,2025-01-01,IN,Ads,Desktop,brittney88@example.net
7d8d3ddd-2cf1-49cb-8f1e-1a378ac8ad93,2025-01-01,US,Organic,Desktop,davisjesse@example.org
d5c0244d-3735-462d-8184-3b0304dd7054,2025-01-01,DE,Organic,Desktop,anaacosta@example.net
8ec29e07-ee0c-4303-b9c1-1c4a639817e5,2025-01-01,US,Referral,Mobile,cooperluis@example.com
c516e394-aae6-487e-a744-aa30b1356d67,2025-01-01,US,Ads,Desktop,jonathan14@example.org
babfbd99-2d9d-4bd8-aeb2-f98cdb38c2f2,2025-01-01,US,Organic,Desktop,cameronlopez@example.com
a4161293-c4c2-42e3-844e-a7c8c0398710,2025-01-01,BR,Referral,Mobile,daniel62@example.com
aea4320b-4087-4859-ab39-d0388c325a53,2025-01-02,US,Ads,Desktop,lhatfield@example.org
8fa05149-2bb2-451f-b023-6aca5ee6fdea,2025-01-02,US,Organic,Desktop,madison75@example.net
2f7410dd-5779-4735-9094-805e1668e9f8,2025-01-02,JP,Ads,Desktop,ucarlson@example.com
